Texture X_N_Fem_Hair_Vic_Steampunk_01
	Base1 N_Fem_Hair_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Hair_Vic_Steampunk_01_B.tga
	DualColor2Scale  1 1 // 1 1

	BumpMap2 none //
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  1 1 // 1 1

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Hair_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Hair_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_N_Fem_Sleeve_Vic_Steampunk_01
	Base1 N_Fem_Sleeve_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 N_Fem_Sleeve_Vic_Steampunk_01_DC //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_DC.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Sleeve_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Sleeve_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.17
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 N_Fem_PAT_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  1.5000 1.5000

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 N_Fem_PAT_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_NM.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  1.5000 1.5000

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1 1
		ScaleST1 1 1
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_N_Fem_Neck_Vic_Steampunk_01
	Base1 N_Fem_Neck_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Neck_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 N_Fem_Neck_Vic_Steampunk_01_DC //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Neck_Vic_Steampunk_01_DC.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Neck_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Neck_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask none //
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  1 // 1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none //
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  1 1 // 1 1

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 none //
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  1 1 // 1 1

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Neck_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Neck_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 0 0
		ScaleST1 0 0
		DiffuseScale 0
		AmbientScale 0
	End
End

Texture X_N_Fem_Jacket_Vic_Steampunk_01
	Base1 N_Fem_Jacket_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Jacket_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none //
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Jacket_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Jacket_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Jacket_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Jacket_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.17
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 N_Fem_PAT_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  1 1 // 2.0000 2.0000

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 N_Fem_PAT_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_NM.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  2 -2.5

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1 1
		ScaleST1 1 1
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_N_Fem_Belt_Vic_Steampunk_01
	Base1 N_Fem_Belt_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Belt_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 N_Fem_Belt_Vic_Steampunk_01_DC //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Belt_Vic_Steampunk_01_DC.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Belt_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Belt_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Belt_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Belt_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.17
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 N_Fem_PAT_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  2.5000 2.5000

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 N_Fem_PAT_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_NM.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  2.5000 2.5000

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1 1
		ScaleST1 1 1
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_N_Fem_Skirt_Vic_Steampunk_01
	Base1 N_Fem_Skirt_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Skirt_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 white //Texture_Library\WORLD\Filler\white.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Skirt_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Skirt_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Skirt_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Skirt_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.17
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 N_Fem_PAT_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  3.0000 3.0000

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 N_Fem_PAT_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_01_NM.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  3.0000 3.5000

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 0.5

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1 1
		ScaleST1 1 1
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_N_Fem_Emblem_Vic_Steampunk_01
	Base1 N_Fem_Emblem_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Emblem_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 N_Fem_Emblem_Vic_Steampunk_01_DC //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Emblem_Vic_Steampunk_01_DC.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Emblem_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Emblem_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Emblem_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Emblem_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.17
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 N_Fem_PAT_Vic_Steampunk_02_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_02_B.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  4.0000 4.0000

	Multiply2 none //
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none //
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 N_Fem_PAT_Vic_Steampunk_02_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_PAT_Vic_Steampunk_02_NM.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  4.0000 4.0000

	// CubeMap  //
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 12
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 1

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_B.tga
		BumpMap none //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Sleeve_Vic_Steampunk_01_NM.tga
		Blend none //
		BlendType Multiply
		ScaleST0 1 1
		ScaleST1 1 1
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_N_Fem_Boots_Vic_Steampunk_01
	Base1 N_Fem_Boots_Vic_Steampunk_01_B //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Boots_Vic_Steampunk_01_B.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //_texture_library\World\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 N_Fem_Boots_Vic_Steampunk_01_DC //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Boots_Vic_Steampunk_01_DC.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 N_Fem_Boots_Vic_Steampunk_01_NM //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Boots_Vic_Steampunk_01_NM.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  1 1 // 1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask N_Fem_Boots_Vic_Steampunk_01_MK //Texture_Library\N_CHARACTERS\N_CoSet_Steampunk_01\N_Fem_Boots_Vic_Steampunk_01_MK.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // -2.0 1
	MaskWeight  0.15
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

