//
// MAKE SURE YOU RUN   scripts\xlatePlayer_Created.bat before you check in.
//
// This is the list of all existing contacts in for Mission Architect. Make sure when you add new contacts that you add it to as many different lists as possible.
// You must add the translation name of the npc in this file so that it can be localized on the client. You only need to add the localization in the All category.

Category "P55916349"
	Contact Abyss						"P2762006528"
	Contact Imperious					"P1987342420"
	Contact Indigo						"P3143901817"
	Contact Infernal					"P3164331205"
	Contact Iris_Parker					"P2725629469"
	Contact Isabel_the_Knife				"P524292427"
	Contact Jack_Wolfe					"P1471631285"
	Contact Jake_Kim					"P2560508333"
	Contact Jake_Montoya					"P1874641281"
	Contact James_Bright					"P3744210348"
	Contact Janelle_Irving					"P3711272481"
	Contact Janet_Kellum					"P1805479651"
	Contact Janitor						"P3506831335"
	Contact Jenny_Firkins					"P1120698190"
	Contact Jerry_Kazatsky					"P4254897870"
	Contact Jesse_Hobart					"P1775676703"
	Contact Jezebel_Jones					"P1358542333"
	Contact Jill_Pastor					"P1593630569"
	Contact Jim_Bell					"P1152887647"
	Contact Jim_Temblor					"P1145393565"
	Contact Jimmy_Dortz					"P2295078232"
	Contact Joesef_Keller					"P317679183"
	Contact John_Strobel					"P3092169276"
	Contact John_Townsend					"P1864913887"
	Contact Johnny_Sonata					"P1831386631"
	Contact Jonathan_Smythe					"P3197681515"
	Contact Jose_Brogan					"P2214658106"
	Contact Jose_Escalante					"P1913302769"
	Contact Joshua_Stutz					"P1692546831"
	Contact Juan_Jimenez					"P902762979"
	Contact Juliana_Nehring					"P2459230521"
	Contact Julius_the_Troll				"P177645482"
	Contact Justin_Augustine				"P4106412915"
	Contact Justin_Greene					"P1128054382"
	Contact Justine_Kelly					"P3307799783"
	Contact Kalinda						"P2068388224"
	Contact Kallarn						"P3421243081"
	Contact Kara_the_Scorpion				"P3171521994"
	Contact Karen_Parker					"P3456307996"
	Contact Karl_Bolger					"P4118574629"
	Contact Karsis						"P2596096903"
	Contact Katie_Hannon					"P1697420006"
	Contact Kelly_Nemmers					"P2941827741"
	Contact Kelly_Uqua					"P1955041576"
	Contact Kevin_Cordell					"P3409247611"
	Contact Kevin_Gilett					"P3208954257"
	Contact Kip_Cantorum					"P2214665040"
	Contact Kira_Lange					"P4206681319"
	Contact Kiros_Nandelu					"P3966267633"
	Contact Kirsten_Woods					"P3506049924"
	Contact Kong_Bao					"P117450774"
	Contact Kristof_Jaeger					"P2677589977"
	Contact Kyle_Peck					"P3449688686"
	Contact Lady_Grey					"P1355872564"
	Contact Lars_Hansen					"P3260039758"
	Contact Latin_Student					"P1889022415"
	Contact Laura_Brunetti					"P2189303684"
	Contact Laurence_Mansfield				"P197415239"
	Contact Laurie_Pennington				"P316593045"
	Contact Levantera					"P2706099738"
	Contact Linda_Summers					"P2388465549"
	Contact Lockers						"P1338585690"
	Contact Long_Jack					"P4057065486"
	Contact Longbow_Bloody_Bay_Liaison			"P1893424358"
	Contact Longbow_Holiday_05_Davis			"P2160223683"
	Contact Longbow_Holiday_05_McClane			"P3281847451"
	Contact Longbow_Holiday_05_Wallace			"P3150225544"
	Contact Longbow_Warburg_Liaison				"P1010150647"
	Contact Lord_Recluse					"P2939457459"
	Contact Lorenz_Ansaldo					"P1500041231"
	Contact Lorenzo_DiCosta					"P3041938747"
	Contact Lorenzo_Tate					"P2805166094"
	Contact Lou_Pasterelli					"P181272003"
	Contact Lt_Chalmers					"P5648503"
	Contact Lt_Col_Flynn					"P4060885526"
	Contact Lt_Col_Hugh_McDougal				"P2270420742"
	Contact Lt_Demitrovich					"P2284089128"
	Contact Lt_MacReady					"P3983350912"
	Contact Lt_Volkov					"P1187418132"
	Contact Luminary					"P590613812"
	Contact Madeleine_Casey					"P624928203"
	Contact Mage_Killer_Zuhkara				"P3675000522"
	Contact Maggie_Greene					"P3196976961"
	Contact Magic_City_02_01				"P973740480"
	Contact Magic_City_02_01b				"P973740480"
	Contact Magic_City_02_01c				"P973740480"
	Contact Magic_City_02_02				"P973740480"
	Contact Magic_City_02_02b				"P973740480"
	Contact Magic_City_02_02c				"P973740480"
	Contact Magic_City_03_01				"P557336848"
	Contact Magic_City_03_01b				"P2764748623"
	Contact Magic_City_03_01c				"P2764748623"
	Contact Magic_City_03_02				"P557336848"
	Contact Magic_City_03_02b				"P4002041413"
	Contact Magic_City_03_02c				"P4002041413"
	Contact Magus_MuDrakhan					"P2818140651"
	Contact Malaise						"P3666629215"
	Contact Manticore					"P1078224859"
	Contact Manuel_Ruiz					"P4193724864"
	Contact Marco						"P561185552"
	Contact Marcus_Valerius					"P3899846390"
	Contact Maria_Jenkins					"P2028158969"
	Contact Mark_Freeman					"P994528332"
	Contact Mark_IV						"P2413007608"
	Contact Marshal_Brass					"P710683197"
	Contact Marvin_Weintraub				"P238271119"
	Contact Matthew_Burke					"P886977873"
	Contact Maurice_Feldon					"P251847876"
	Contact Maxwell_Christopher				"P304146395"
	Contact Medicine_Cabinet				"P3974411123"
	Contact Meg_Mason					"P625199324"
	Contact Melanie_Peebles					"P628007394"
	Contact Mender_Lazarus					"P3110941004"
	Contact Mender_Silos					"P2371005619"
	Contact Mender_Tesseract				"P1293036037"
	Contact Merisel_Valenzuela				"P716067109"
	Contact Mickey_the_Filch				"P822914882"
	Contact Midnighter_Coop_02_01				"P832635499"
	Contact Midnighter_Greeter				"P4241597202"
	Contact MidnighterQuartermaster_01			"P556307036"
	Contact Mikey_the_Ear					"P415171471"
	Contact Miriam_Bloechl					"P1065355167"
	Contact Mirror_Spirit					"P923420087"
	Contact Mongoose					"P2863408516"
	Contact Montague_Castanella				"P1415935792"
	Contact Moonfire					"P209622569"
	Contact Morben						"P562297961"
	Contact Mr_Bocor					"P3892764569"
	Contact Mr_Verde					"P1863883764"
	Contact MrYinStore					"P1572983000"
	Contact Ms_Liberty_RV					"P2932165423"
	Contact Mutant_City_02_01				"P1048662329"
	Contact Mutant_City_02_01b				"P1048662329"
	Contact Mutant_City_02_01c				"P1048662329"
	Contact Mutant_City_02_02				"P1048662329"
	Contact Mutant_City_02_02b				"P1048662329"
	Contact Mutant_City_02_02c				"P1048662329"
	Contact Mutant_City_03_01				"P2495261645"
	Contact Mutant_City_03_01b				"P2495261645"
	Contact Mutant_City_03_01c				"P2495261645"
	Contact Mutant_City_03_02				"P2495261645"
	Contact Mutant_City_03_02b				"P2495261645"
	Contact Mutant_City_03_02c				"P2495261645"
	Contact Mynx						"P3065688836"
	Contact Nameless_Mystic					"P2249078441"
	Contact NatalieAlexander				"P1989988690"
	Contact Natural_City_02_01				"P2792856473"
	Contact Natural_City_02_01b				"P2792856473"
	Contact Natural_City_02_01c				"P2792856473"
	Contact Natural_City_02_02				"P2792856473"
	Contact Natural_City_02_02b				"P2792856473"
	Contact Natural_City_02_02c				"P2792856473"
	Contact Natural_City_03_01				"P1324157394"
	Contact Natural_City_03_01b				"P1324157394"
	Contact Natural_City_03_01c				"P1324157394"
	Contact Natural_City_03_02				"P1324157394"
	Contact Natural_City_03_02b				"P1324157394"
	Contact Natural_City_03_02c				"P1324157394"
	Contact Neal_Kendrick					"P3240883574"
	Contact NorbertPittman					"P3239540499"
	Contact Notoriety_Contact_CapAuDiable			"P35752117"
	Contact NotorietyContact10				"P3333376751"
	Contact NotorietyContact11				"P3333376751"
	Contact NotorietyContact2				"P3333376751"
	Contact NotorietyContact3				"P3333376751"
	Contact NotorietyContact4				"P3333376751"
	Contact NotorietyContact5				"P3333376751"
	Contact NotorietyContact6				"P3333376751"
	Contact NotorietyContact7				"P3333376751"
	Contact NotorietyContact8				"P3333376751"
	Contact NotorietyContact9				"P3333376751"
	Contact Number_204					"P739131545"
	Contact Numina						"P4196625814"
	Contact Oakes_Blueprints				"P2327427237"
	Contact Officer_Flint					"P194545998"
//	Contact Officer_Friday
	Contact Officer_Parks					"P3845267142"
	Contact Oliver_Haak					"P2424685740"
	Contact Olivia_Chung					"P3007144735"
	Contact Operative_Caderma				"P1459767095"
	Contact Operative_Grillo				"P515731670"
	Contact Operative_Kirkland				"P2496012982"
	Contact Operative_Renault				"P2843509060"
	Contact Operative_Rutger				"P3815016669"
	Contact Operative_Vargas				"P3683996103"
	Contact Operative_Wellman				"P956960615"
	Contact Oswald_Cuthbert					"P504136895"
	Contact Ouroboros_Heroes				"P3600745313"
	Contact OuroborosStore_01				"P1312301846"
	Contact Paco_Sanchez					"P2786223495"
	Contact Paragon_SWAT					"P244363913"
	Contact Paula_Dempsey					"P3335381242"
	Contact Pavel_Garnier					"P739888444"
	Contact Penelope_Yin					"P3268873349"
	Contact Penny_Preston					"P2282077511"
	Contact Percy_Winkley					"P4241849801"
	Contact Peter_Stemitz					"P1317843658"
	Contact Peter_Themari					"P600373572"
	Contact Phillipa_Meraux					"P1882368750"
	Contact Pilgrim						"P2818993813"
	Contact Piper_Irving					"P670928874"
	Contact Pither						"P702918583"
	Contact Pledge_UniversitySteel				"P935566638"
	Contact Pocket_D_Info					"P1666446318"
	Contact PocketD_Arachnos_Wall_Lean_Guy			"P531005993"
	Contact PocketD_Bartender_Bob				"P2386216613"
	Contact PocketD_Bartender_Carl				"P266492059"
	Contact PocketD_Bartender_Isaac				"P3375923861"
	Contact PocketD_Bartender_Sam				"P1791467949"
	Contact PocketD_Bouncer_Faultline			"P1200260343"
	Contact PocketD_Bouncer_Founders			"P4001828099"
	Contact PocketD_Bouncer_Hero_Only			"P2873631250"
	Contact PocketD_Bouncer_KingsRow			"P3710683982"
	Contact PocketD_Bouncer_PortOakes			"P777272751"
	Contact PocketD_Bouncer_Sharkhead			"P565143837"
	Contact PocketD_Bouncer_StMartial			"P1038050591"
	Contact PocketD_Bouncer_Talos				"P1472182043"
	Contact PocketD_Bouncer_Villain				"P635827882"
	Contact PocketD_CandyKeeper				"P3585368026"
	Contact PocketD_Council_Wall_Leaner			"P3286904935"
	Contact PocketD_Desperate_Guy				"P3916416288"
	Contact PocketD_Freedom_Leaner				"P419577206"
	Contact PocketD_Hero_Hostess				"P3085364121"
	Contact PocketD_Just_Some_Guy				"P4053164224"
	Contact PocketD_Old_Rave_Bum				"P3977515242"
	Contact PocketD_Raver_Girl_A				"P3065040287"
	Contact PocketD_Raver_Girl_B				"P3065040287"
	Contact PocketD_Raver_Girl_C				"P3065040287"
	Contact PocketD_Raver_Guy_A				"P3065040287"
	Contact PocketD_Raver_Guy_B				"P3065040287"
	Contact PocketD_Raver_Guy_C				"P3065040287"
	Contact PocketD_Villain_Hostess				"P3085364121"
	Contact Polly_Cooper					"P2318877533"
	Contact PortOakes_Canada_Joe				"P713420"
	Contact Positron					"P2938751538"
	Contact Professor_Boram					"P1694682157"
	Contact Professor_Chandler				"P3536772706"
	Contact Professor_Hoffman				"P2299192197"
	Contact Professor_Taylor				"P2934147091"
	Contact Professor_Topffer				"P3136029111"
	Contact Psimon_Omega					"P950281314"
	Contact Rachel_Torres					"P1273420241"
	Contact Ractespriel					"P1339051655"
	Contact Ravenstorm					"P2744261059"
	Contact Rebecca_Brinell					"P2140218995"
	Contact RecluseVictory_AlternateDoor_ArachnosGuy	"P2833775458"
	Contact RecluseVictory_AlternateDoor_LongbowGuy		"P3205049534"
	Contact Regent_Korol					"P3359754443"
	Contact RhondaJames					"P2337516533"
	Contact Rick_Davies					"P2839176367"
	Contact Rikti_Argot'BurWot				"P2329299313"
	Contact RMKF_Cornelius					"P3182746447"
	Contact RMKF_Family_Chatter				"P3466773040"
	Contact RMKF_Family1					"P3513908546"
	Contact RMKF_Joe_Young					"P1451760594"
	Contact Robert_Koslowski				"P4239183957"
	Contact Ron_Hughes					"P887617179"
	Contact RonaldKincade					"P1316793793"
	Contact Rondel_Jackson					"P1684183691"
	Contact RWZ_Crasher					"P620301056"
	Contact Samuel_OReilly					"P3376091772"
	Contact Samuel_Pierce					"P1841818445"
	Contact Sanjay_Chandra					"P930252862"
	Contact Sara_Moore					"P2664787267"
	Contact Sarah_Juarez					"P926492822"
	Contact Sarah_Peters					"P4150636675"
	Contact Science_City_02_01				"P500040458"
	Contact Science_City_02_01b				"P500040458"
	Contact Science_City_02_01c				"P500040458"
	Contact Science_City_02_02				"P500040458"
	Contact Science_City_02_02b				"P500040458"
	Contact Science_City_02_02c				"P500040458"
	Contact Science_City_03_01				"P2038640869"
	Contact Science_City_03_01b				"P2038640869"
	Contact Science_City_03_01c				"P2038640869"
	Contact Science_City_03_02				"P2038640869"
	Contact Science_City_03_02b				"P2038640869"
	Contact Science_City_03_02c				"P2038640869"
	Contact Scirocco					"P305481352"
	Contact Seer_Marino					"P1040075632"
	Contact Sela_Vermont					"P3589916322"
	Contact Senator_Aquila					"P2511065280"
	Contact Serafina					"P490599854"
	Contact Sergeant_Hicks					"P2778085338"
	Contact Serpent_Drummer					"P3965825189"
	Contact Sgt_Goddard					"P3137571630"
	Contact Sgt_Suzanne_Bernhard				"P3409396893"
	Contact Shadow_Spider					"P3933719368"
	Contact Shadowstar					"P1868937738"
	Contact Shadowy_Figure					"P3698200134"
	Contact Shelly_Knowles					"P1400948803"
	Contact Silver_Mantis					"P2060199557"
	Contact Sister_Airlia					"P4291176104"
	Contact Sister_Psyche					"P3744943569"
	Contact Skipper_LeGrange				"P2623510491"
	Contact Skyway_CityPlannerA				"P2330306667"
	Contact Skyway_CityPlannerB				"P2330306667"
	Contact Slarrah						"P4261009965"
	Contact Slot_Machine					"P1509940344"
	Contact Sound_Technician_A				"P1914626101"
	Contact Sound_Technician_B				"P1914626101"
	Contact Sparcetriel					"P3983812844"
	Contact Statesman_Old					"P2248492916"
	Contact Stella_the_Mouth				"P120040033"
	Contact Stephanie_Peebles				"P1282195877"
	Contact Steven_Sheridan					"P1757701788"
	Contact Sunstorm					"P93035954"
	Contact SuperGroupRegistrar				"P2835588595"
	Contact Susan_Davies					"P196097607"
	Contact Swan_RV						"P2142115644"
	Contact Synapse						"P1809841829"
	Contact Talshak_the_Mystic				"P1954330130"
	Contact Tavish_Bell					"P3681782251"
	Contact Tech_City_02_01					"P722388819"
	Contact Tech_City_02_01b				"P722388819"
	Contact Tech_City_02_01c				"P722388819"
	Contact Tech_City_02_02					"P722388819"
	Contact Tech_City_02_02b				"P722388819"
	Contact Tech_City_02_02c				"P722388819"
	Contact Tech_City_03_01					"P1891855538"
	Contact Tech_City_03_01b				"P1891855538"
	Contact Tech_City_03_01c				"P1891855538"
	Contact Tech_City_03_02					"P1891855538"
	Contact Tech_City_03_02b				"P1891855538"
	Contact Tech_City_03_02c				"P1891855538"
	Contact Technician_Naylor				"P559221282"
	Contact Television					"P619799315"
	Contact Terrence_Dobbs					"P2859785034"
	Contact Thao_Ku						"P1659466712"
	Contact The_Can_Man					"P277291088"
	Contact The_Radio					"P4080933560"
	Contact TheConduit					"P557336848"
	Contact Timothy_Raymond					"P1935618015"
	Contact Tina_Chung					"P3622464585"
	Contact Tina_Macintyre					"P1720285133"
	Contact Tobias_Hansen					"P1730576687"
	Contact Tom_Bowden					"P112783192"
	Contact Tony_Kord					"P2924552034"
	Contact Trepsarciel					"P1155113121"
	Contact Tristan_Caine					"P1217594356"
	Contact Turndown_Girl_A					"P3652344168"
	Contact Tutorial_Nurse					"P3138036778"
	Contact TwilightsSon					"P3943379563"
	Contact Tyler_French					"P607858373"
	Contact Unai_Kemen					"P4236326606"
	Contact v_FaceEmployee_V_City_02_01a			"P217783602"
	Contact Valkyrie					"P2195455253"
	Contact VanguardQuartermaster_01			"P260480928"
	Contact VanguardQuartermaster_02			"P260480928"
	Contact Veluta_Lunata					"P2287312326"
	Contact Vernon_Von_Grun					"P2885453895"
	Contact Vic_Garland					"P45381733"
	Contact Vic_Johansson					"P3982345677"
	Contact Vince_Dubrowski					"P2825644843"
	Contact Virgil_Tarikoss					"P4047320273"
	Contact Virginia_Hoffman				"P65127026"
	Contact Viridian					"P522392490"
	Contact Vitaly_Cherenko					"P2469894209"
	Contact Vivacious_Verandi				"P2136406225"
	Contact Wanda_Travis					"P99208292"
	Contact War_Witch					"P41739984"
	Contact Warren_Trudeau					"P1923981399"
	Contact Warzone_Agent_Brinson				"P1481850597"
	Contact Warzone_Agent_Eckman				"P3542170728"
	Contact Warzone_Agent_Goddard				"P571856590"
	Contact Warzone_Operative_Braun				"P2428615672"
	Contact Warzone_Operative_Massey			"P2203252842"
	Contact Warzone_Operative_Oudot				"P3187836602"
	Contact Wendy_Klein					"P3177866847"
	Contact Wentworth_Atlas_Female_1			"P2702356605"
	Contact Wentworth_Atlas_Female_2			"P2702356605"
	Contact Wentworth_Atlas_Male_1				"P2702356605"
	Contact Wentworth_Atlas_Male_2				"P2702356605"
	Contact Wentworth_Kings_Female_1			"P2702356605"
	Contact Wentworth_Kings_Female_2			"P2702356605"
	Contact Wentworth_Kings_Male_1				"P2702356605"
	Contact Wentworth_Kings_Male_2				"P2702356605"
	Contact Wentworth_Steel_Female_1			"P2702356605"
	Contact Wentworth_Steel_Female_2			"P2702356605"
	Contact Wentworth_Steel_Male_1				"P2702356605"
	Contact Wentworth_Steel_Male_2				"P2702356605"
	Contact Wentworth_Talos_Female_1			"P2702356605"
	Contact Wentworth_Talos_Female_2			"P2702356605"
	Contact Wentworth_Talos_Male_1				"P2702356605"
	Contact Wentworth_Talos_Male_2				"P2702356605"
	Contact Wes_Schnabel					"P3123652689"
	Contact Westin_Phipps					"P4163009691"
	Contact Wiggy_the_Brit					"P991397799"
	Contact Willy_Starbuck					"P833731425"
	Contact Willy_Wheeler					"P1118228063"
	Contact Wilma_Peterson					"P2196798768"
	Contact Wilson_Eziquerra				"P1639901273"
