Texture X_CT_Building_Win_01
	Base1 Bld_Sky_UNWindow01_d //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_d.tga
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 1 // Optional flag indicating this is a spheremap

	DualColor2 Bld_Sky_UNWindow01_dc //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_dc.tga
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 Bld_OFC_Modern_MidRise_WindowDistortion_01_NS //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowDistortion_01_NS.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  0.03125 0.03125

	CubeMap City_01_02_grpcubemap147973_face0 //Texture_Library\static_cubemaps\City_01_02\City_01_02_grpcubemap147973_face0.tga
	ReflectivityBase 0.6
	ReflectivityScale 0.5
	ReflectivityPower 6
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 120 160 150
	SpecularColor2 0 0 0 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 8

	DiffuseScale 1
	AmbientScale 2

	Flags FallbackForceOpaque // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 100
	MaxAddGlow 100

	Color3 0 0 0 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 0 0 0

	Fallback
		UseFallback 1
		Base Bld_Sky_UNWindow01_d //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_d.tga
		BumpMap none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_SkyScrapers\Bld_Sky_UNWindow01_ns.tga
		Blend none //
		BlendType AddGlow
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 0.5
		AmbientScale 0.5
	End
End

Texture X_CT_Conc
	Base1 Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_D.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 none //Texture_Library\WORLD\city_zones\Praetoria\First_Ward\Buildings\Brick_MidRises\P_StainTile02.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  0.125 0.125
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 black //Texture_Library\WORLD\Filler\black.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_N //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_N.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 Bld_OFC_Modern_MidRise_WindowLights_01_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowLights_01_D.tga
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  0.125 0.125
	AddGlowMat2  1 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_M //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_M.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  1 // 1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 Bld_OFC_Modern_MidRise_WindowVariation_05_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowVariation_05_D.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  0.125 0.125

	Multiply2 reflect_general02 //Texture_Library\WORLD\Filler\reflect_general02.tga
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 1 // Optional flag indicating this is a spheremap

	DualColor2 white //Texture_Library\WORLD\Filler\white.tga
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 Bld_OFC_Modern_MidRise_WindowDistortion_01_NS //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowDistortion_01_NS.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  0.03125 0.03125

	CubeMap generic_cubemap_face0 //Texture_Library\static_cubemaps\generic\generic_cubemap_face0.tga
	ReflectivityBase 0.3
	ReflectivityScale 0.7
	ReflectivityPower 6
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 20 20 20
	SpecularColor2 0 0 0 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 50
	SpecularExponent2 50

	DiffuseScale 1
	AmbientScale 2

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 255

	Color3 0 0 0 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 0 0 0

	Fallback
		UseFallback 1
		Base Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_D.tga
		BumpMap none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_N.tga
		Blend none //
		BlendType AddGlow
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_CT_Statue_Head
	Base1 Cyrus_Thompson_Statue_Head_02 //Texture_Library\WORLD\V_COV\city_zones\Signature_Statue\Cyrus_Thompson_Statue\Cyrus_Thompson_Statue_Head_02.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 1 1

	Multiply1 white //Texture_Library\WORLD\Filler\white.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 0.125 0.125
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none //Texture_Library\WORLD\Filler\black.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 PlazaRuin_Fill_Concrete_01_NS //Texture_Library\WORLD\city_zones\Praetoria\First_Ward\Plaza\Surfaces\PlazaRuin_Fill_Concrete_01_NS.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowLights_01_D.tga
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  0.125 0.125
	AddGlowMat2  1 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_M.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  1 // 1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowVariation_05_D.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  0.125 0.125

	Multiply2 none //Texture_Library\WORLD\Filler\reflect_general02.tga
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 white //Texture_Library\WORLD\Filler\white.tga
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 Bld_OFC_Modern_MidRise_WindowDistortion_01_NS //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowDistortion_01_NS.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  0.03125 0.03125

	CubeMap generic_cubemap_face0 //Texture_Library\static_cubemaps\generic\generic_cubemap_face0.tga
	ReflectivityBase 0.3
	ReflectivityScale 0.7
	ReflectivityPower 6
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 128 128 128
	SpecularColor2 0 0 0 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 16
	SpecularExponent2 50

	DiffuseScale 1
	AmbientScale 2

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 255

	Color3 0 0 0 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 0 0 0

	Fallback
		UseFallback 1
		Base Cyrus_Thompson_Statue_Head_02 //Texture_Library\WORLD\V_COV\city_zones\Signature_Statue\Cyrus_Thompson_Statue\Cyrus_Thompson_Statue_Head_02.tga
		BumpMap none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_N.tga
		Blend white //Texture_Library\WORLD\Filler\white.tga
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1
		AmbientScale 1
	End
End

Texture X_CT_Statue_Body
	Base1 FW_MM_Concrete //Texture_Library\WORLD\city_zones\Praetoria\First_Ward\Buildings\MM_Hospital\FW_MM_Concrete.tga
	Base1Scroll 0 0 // 0 0
	Base1ScrollType  Normal //Normal
	Base1Scale  1 1 // 3 3

	Multiply1 grey //Texture_Library\WORLD\Filler\grey.tga
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal //Normal
	Multiply1Scale  1 1 // 0.125 0.125
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none //Texture_Library\WORLD\Filler\black.tga
	DualColor1Scroll 0 0 // 0 0
	DualColor1ScrollType  Normal //Normal
	DualColor1Scale  1 1 // 1 1

	BumpMap1 FW_MM_Concrete_NS //Texture_Library\WORLD\city_zones\Praetoria\First_Ward\Buildings\MM_Hospital\FW_MM_Concrete_NS.tga
	BumpMap1Scroll 0 0 // 0 0
	BumpMap1ScrollType  Normal //Normal
	BumpMap1Scale  1 1 // 1 1

	AddGlow1 none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowLights_01_D.tga
	AddGlow1Scroll 0 0 // 0 0
	AddGlow1ScrollType  Normal //Normal
	AddGlow1Scale  0.125 0.125
	AddGlowMat2  1 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 0

	Mask none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_M.tga
	MaskScroll 0 0 // 0 0
	MaskScrollType  Normal //Normal
	MaskScale  1 1 // 1 1
	MaskWeight  1 // 1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 Bld_OFC_Modern_MidRise_WindowVariation_05_D //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowVariation_05_D.tga
	Base2Scroll 0 0 // 0 0
	Base2ScrollType  Normal //Normal
	Base2Scale  0.125 0.125

	Multiply2 reflect_general02 //Texture_Library\WORLD\Filler\reflect_general02.tga
	Multiply2Scroll 0 0 // 0 0
	Multiply2ScrollType  Normal //Normal
	Multiply2Scale  1 1 // 1 1
	Multiply2Reflect 1 // Optional flag indicating this is a spheremap

	DualColor2 white //Texture_Library\WORLD\Filler\white.tga
	DualColor2Scroll 0 0 // 0 0
	DualColor2ScrollType  Normal //Normal
	DualColor2Scale  1 1 // 1 1

	BumpMap2 Bld_OFC_Modern_MidRise_WindowDistortion_01_NS //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_WindowDistortion_01_NS.tga
	BumpMap2Scroll 0 0 // 0 0
	BumpMap2ScrollType  Normal //Normal
	BumpMap2Scale  0.03125 0.03125

	CubeMap generic_cubemap_face0 //Texture_Library\static_cubemaps\generic\generic_cubemap_face0.tga
	ReflectivityBase 0.3
	ReflectivityScale 0.7
	ReflectivityPower 6
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 64 64 64
	SpecularColor2 0 0 0 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 50

	DiffuseScale 1
	AmbientScale 2

	Flags None  // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 255

	Color3 0 0 0 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 0 0 0

	Fallback
		UseFallback 1
		Base FW_MM_Concrete //Texture_Library\WORLD\city_zones\Praetoria\First_Ward\Buildings\MM_Hospital\FW_MM_Concrete.tga
		BumpMap none //Texture_Library\WORLD\city_zones\Praetoria\Buildings\Office\Modern_MidRise\Bld_OFC_Modern_MidRise_Sqr_C_WND_Core_02_N.tga
		Blend grey //Texture_Library\WORLD\Filler\grey.tga
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1
		AmbientScale 1
	End
End

	
